Time(Fw)[msec],Interval(Fw)[msec],Sampling(App)[msec],0xDF0,0xDF1,0xDF2,0xDF3,0xDF4,0xDF5,0xDF6,0xDF7,
316482,30,31.5,0,-0.2049560546875,-0.00202178955078125,0,94.5,1,6,0,
316512,30,28.7,0,-0.173583984375,-0.0004627704620361328,0,94.5,1,6,0,
316542,30,32.3,0,-0.1376953125,-0.0012359619140625,0,94.5,1,6,0,
316572,30,28.8,0,-0.09613037109375,-0.0046844482421875,0,94.5,1,6,0,
316602,30,29.4,0,-0.048980712890625,-0.01016998291015625,0,94.5,1,6,0,
316632,30,30.8,0,-0.0003504753112792969,-0.0172271728515625,0,94.5,1,6,0,
316662,30,30.8,0,0.047271728515625,-0.0245819091796875,0,94.5,1,6,0,
316692,30,29.9,0,0.09564208984375,-0.031097412109375,0,94.5,1,6,0,
316752,60,44.3,0,0.2003173828125,-0.045684814453125,0,94.5,1,6,0,
316782,30,32.3,0,0.259033203125,-0.0556640625,0,94.5,1,6,0,
316812,30,29.3,0,0.31494140625,-0.0689697265625,0.0260772705078125,94.5,1,6,0,
316842,30,43.3,0,0.328857421875,-0.082275390625,0.1656494140625,94.5,1,6,0,
316872,30,31.1,0,0.284423828125,-0.0943603515625,0.415771484375,94.5,1,6,0,
316902,30,28.9,0,0.191162109375,-0.10107421875,0.72705078125,98.375,0,7,0,
316932,30,29.6,0,0.07659912109375,-0.0994873046875,0.994140625,98.375,0,7,0,
316962,30,30.6,0,-0.059661865234375,-0.0841064453125,1.20703125,98.375,0,7,0,
316992,30,29.6,0,-0.2005615234375,-0.059173583984375,1.3623046875,98.375,0,7,0,
317022,30,29.3,0,-0.334228515625,-0.038299560546875,1.4462890625,98.375,0,7,0,
317052,30,31,0,-0.4580078125,-0.03045654296875,1.458984375,98.375,0,7,0,
317082,30,30.3,0,-0.56787109375,-0.0352783203125,1.4052734375,98.375,0,7,0,
317112,30,30.7,0,-0.65869140625,-0.043487548828125,1.3037109375,98.375,0,7,0,
317142,30,29.3,0,-0.72265625,-0.046844482421875,1.15625,98.375,0,7,0,
317172,30,29.3,0,-0.76123046875,-0.044464111328125,0.9755859375,98.375,0,7,0,
317202,30,29.9,0,-0.77587890625,-0.038818359375,0.76220703125,98.375,0,7,0,
317232,30,29.8,0,-0.76806640625,-0.034698486328125,0.513671875,98.375,0,7,0,
317262,30,30,0,-0.7412109375,-0.033660888671875,0.24853515625,98.375,0,7,0,
317292,30,30.6,0,-0.74658203125,-0.033935546875,0.14111328125,98.375,0,7,0,
317322,30,30.6,0,-0.71875,-0.029510498046875,0.09814453125,98.375,0,7,0,
317352,30,28.7,0,-0.677734375,-0.025421142578125,0.0736083984375,98.375,0,7,0,
317382,30,30.4,0,-0.62451171875,-0.019012451171875,0.053680419921875,98.375,0,7,0,
317427,45,30.8,0,-0.52392578125,-0.0127105712890625,0,98.375,0,7,0,
317472,45,44.4,0,-0.459228515625,-0.01195526123046875,0,98.375,1,6,0,
317502,30,42.8,0,-0.412353515625,-0.0192718505859375,0,98.375,1,6,0,
317532,30,31.3,0,-0.359130859375,-0.02716064453125,0,98.375,1,6,0,
317592,60,45.3,0,-0.268798828125,-0.024810791015625,0,98.375,1,6,0,
317622,30,30.5,0,-0.23681640625,-0.0188751220703125,0,98.375,1,6,0,
317652,30,29.9,0,-0.2081298828125,-0.01424407958984375,0,98.375,1,6,0,
317682,30,45.8,0,-0.1766357421875,-0.01245880126953125,0,98.375,1,6,0,
317712,30,32.9,0,-0.1407470703125,-0.0127410888671875,0,98.375,1,6,0,
317742,30,27.8,0,-0.09906005859375,-0.01477813720703125,0,98.375,1,6,0,
317772,30,28.6,0,-0.0513916015625,-0.0180816650390625,0,98.375,1,6,0,
317802,30,31.8,0,-0.001983642578125,-0.0225830078125,0,98.375,1,6,0,
317832,30,30,0,0.0484619140625,-0.02777099609375,0,98.375,1,6,0,
317892,60,28.9,0,0.150390625,-0.03759765625,0,98.375,1,6,0,
317952,60,59.3,0,0.2626953125,-0.052154541015625,0,98.375,1,6,0,
317982,30,46.3,0,0.318603515625,-0.06378173828125,0.0245361328125,98.375,1,6,0,
318012,30,28,0,0.333984375,-0.07611083984375,0.1610107421875,98.375,1,6,0,
318042,30,29.8,0,0.288818359375,-0.08685302734375,0.415771484375,98.375,1,6,0,
318072,30,31.9,0,0.1951904296875,-0.0916748046875,0.7333984375,102.5625,0,7,0,
318102,30,45.2,0,0.0791015625,-0.0880126953125,1.005859375,102.5625,0,7,0,
318132,30,32.1,0,-0.06317138671875,-0.07171630859375,1.2236328125,102.5625,0,7,0,
318162,30,28.7,0,-0.212646484375,-0.04913330078125,1.3818359375,102.5625,0,7,0,
318192,30,30.1,0,-0.353271484375,-0.032928466796875,1.466796875,102.5625,0,7,0,
318222,30,28.2,0,-0.483154296875,-0.03228759765625,1.4775390625,102.5625,0,7,0,
318252,30,31,0,-0.59814453125,-0.045684814453125,1.4208984375,102.5625,0,7,0,
318282,30,28.5,0,-0.6923828125,-0.059967041015625,1.3115234375,102.5625,0,7,0,
318312,30,34.1,0,-0.7548828125,-0.0650634765625,1.1494140625,102.5625,0,7,0,
318342,30,27.9,0,-0.7890625,-0.062103271484375,0.94970703125,102.5625,0,7,0,
318372,30,28.9,0,-0.7978515625,-0.05755615234375,0.71630859375,102.5625,0,7,0,
318402,30,28.6,0,-0.78125,-0.0556640625,0.4462890625,102.5625,0,7,0,
318432,30,30.4,0,-0.7548828125,-0.05670166015625,0.1856689453125,102.5625,0,7,0,
318462,30,31.4,0,-0.76220703125,-0.057586669921875,0.10125732421875,102.5625,0,7,0,
318522,60,35.3,0,-0.68603515625,-0.0491943359375,0.0460205078125,102.5625,0,7,0,
318552,30,53.5,0,-0.62841796875,-0.042510986328125,0.0306854248046875,102.5625,0,7,0,
318582,30,30.5,0,-0.5615234375,-0.037445068359375,0.007671356201171875,102.5625,0,7,0,
318612,30,30.7,0,-0.50244140625,-0.036376953125,0,102.5625,1,7,0,
318642,30,30.5,0,-0.463623046875,-0.0347900390625,0,102.5625,1,6,0,
